@relation anneal.ORIG-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.supervised.attribute.Discretize-Rfirst-last

@attribute family {GB,GK,GS,TN,ZA,ZF,ZH,ZM,ZS}
@attribute product-type {C,H,G}
@attribute steel {R,A,U,K,M,S,W,V}
@attribute carbon {'\'(-inf-3.5]\'','\'(3.5-inf)\''}
@attribute hardness {'\'(-inf-22.5]\'','\'(22.5-75]\'','\'(75-inf)\''}
@attribute temper_rolling {T}
@attribute condition {S,A,X}
@attribute formability {1,2,3,4,5}
@attribute strength {'\'(-inf-375]\'','\'(375-450]\'','\'(450-550]\'','\'(550-inf)\''}
@attribute non-ageing {N}
@attribute surface-finish {P,M}
@attribute surface-quality {D,E,F,G}
@attribute enamelability {1,2,3,4,5}
@attribute bc {Y}
@attribute bf {Y}
@attribute bt {Y}
@attribute bw/me {B,M}
@attribute bl {Y}
@attribute m {Y}
@attribute chrom {C}
@attribute phos {P}
@attribute cbond {Y}
@attribute marvi {Y}
@attribute exptl {Y}
@attribute ferro {Y}
@attribute corr {Y}
@attribute blue/bright/varn/clean {B,R,V,C}
@attribute lustre {Y}
@attribute jurofm {Y}
@attribute s {Y}
@attribute p {Y}
@attribute shape {COIL,SHEET}
@attribute thick {'\'(-inf-0.4755]\'','\'(0.4755-0.6005]\'','\'(0.6005-0.7995]\'','\'(0.7995-0.8005]\'','\'(0.8005-1.5495]\'','\'(1.5495-1.5995]\'','\'(1.5995-1.95]\'','\'(1.95-2.1]\'','\'(2.1-inf)\''}
@attribute width {'\'(-inf-1167.5]\'','\'(1167.5-1235]\'','\'(1235-1410.05]\'','\'(1410.05-inf)\''}
@attribute len {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute oil {Y,N}
@attribute bore {0,500,600,760}
@attribute packing {1,2,3}
@attribute class {1,2,3,4,5,U}

@data
TN,C,R,'\'(-inf-3.5]\'','\'(-inf-22.5]\'',T,S,2,'\'(-inf-375]\'',N,P,E,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,COIL,'\'(0.8005-1.5495]\'','\'(-inf-1167.5]\'','\'(-inf-0.5]\'',Y,0,3,3
TN,C,R,'\'(-inf-3.5]\'','\'(-inf-22.5]\'',T,S,2,'\'(-inf-375]\'',N,P,E,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,SHEET,'\'(-inf-0.4755]\'','\'(1235-1410.05]\'','\'(0.5-inf)\'',Y,0,3,3
TN,C,R,'\'(-inf-3.5]\'','\'(-inf-22.5]\'',T,S,2,'\'(-inf-375]\'',N,P,E,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,SHEET,'\'(0.8005-1.5495]\'','\'(-inf-1167.5]\'','\'(0.5-inf)\'',Y,0,3,3
TN,C,A,'\'(-inf-3.5]\'','\'(22.5-75]\'',T,S,2,'\'(-inf-375]\'',N,P,D,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,COIL,'\'(0.8005-1.5495]\'','\'(-inf-1167.5]\'','\'(-inf-0.5]\'',Y,0,3,3
TN,C,A,'\'(-inf-3.5]\'','\'(-inf-22.5]\'',T,S,2,'\'(-inf-375]\'',N,P,F,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,SHEET,'\'(0.4755-0.6005]\'','\'(1167.5-1235]\'','\'(0.5-inf)\'',Y,0,3,3
TN,C,A,'\'(-inf-3.5]\'','\'(-inf-22.5]\'',T,S,2,'\'(-inf-375]\'',N,P,E,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,SHEET,'\'(2.1-inf)\'','\'(1235-1410.05]\'','\'(0.5-inf)\'',Y,0,3,3
TN,C,A,'\'(3.5-inf)\'','\'(-inf-22.5]\'',T,S,2,'\'(-inf-375]\'',N,P,E,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,COIL,'\'(2.1-inf)\'','\'(-inf-1167.5]\'','\'(-inf-0.5]\'',Y,0,3,U
TN,C,A,'\'(-inf-3.5]\'','\'(75-inf)\'',T,S,2,'\'(-inf-375]\'',N,P,G,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,SHEET,'\'(0.7995-0.8005]\'','\'(-inf-1167.5]\'','\'(0.5-inf)\'',Y,0,3,U
TN,C,A,'\'(-inf-3.5]\'','\'(-inf-22.5]\'',T,S,2,'\'(-inf-375]\'',N,P,E,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,SHEET,'\'(2.1-inf)\'','\'(1235-1410.05]\'','\'(0.5-inf)\'',Y,0,3,3
TN,C,A,'\'(-inf-3.5]\'','\'(22.5-75]\'',T,S,2,'\'(-inf-375]\'',N,P,G,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,COIL,'\'(0.4755-0.6005]\'','\'(1167.5-1235]\'','\'(-inf-0.5]\'',Y,0,3,3
TN,C,A,'\'(-inf-3.5]\'','\'(-inf-22.5]\'',T,S,2,'\'(-inf-375]\'',N,P,F,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,SHEET,'\'(0.4755-0.6005]\'','\'(-inf-1167.5]\'','\'(0.5-inf)\'',Y,0,3,3
TN,C,K,'\'(3.5-inf)\'','\'(-inf-22.5]\'',T,S,2,'\'(-inf-375]\'',N,P,E,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,COIL,'\'(0.7995-0.8005]\'','\'(-inf-1167.5]\'','\'(-inf-0.5]\'',Y,0,3,3
TN,C,A,'\'(-inf-3.5]\'','\'(75-inf)\'',T,S,2,'\'(-inf-375]\'',N,P,G,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,COIL,'\'(0.8005-1.5495]\'','\'(-inf-1167.5]\'','\'(-inf-0.5]\'',Y,0,3,U
TN,C,S,'\'(3.5-inf)\'','\'(-inf-22.5]\'',T,S,2,'\'(-inf-375]\'',N,P,E,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,COIL,'\'(2.1-inf)\'','\'(-inf-1167.5]\'','\'(-inf-0.5]\'',Y,0,3,3
TN,C,A,'\'(-inf-3.5]\'','\'(-inf-22.5]\'',T,S,2,'\'(-inf-375]\'',N,P,E,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,COIL,'\'(0.4755-0.6005]\'','\'(-inf-1167.5]\'','\'(-inf-0.5]\'',Y,0,3,1
TN,C,A,'\'(-inf-3.5]\'','\'(22.5-75]\'',T,S,2,'\'(-inf-375]\'',N,P,G,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,COIL,'\'(2.1-inf)\'','\'(1235-1410.05]\'','\'(-inf-0.5]\'',Y,0,3,3
TN,C,A,'\'(-inf-3.5]\'','\'(22.5-75]\'',T,S,2,'\'(-inf-375]\'',N,P,G,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,SHEET,'\'(0.7995-0.8005]\'','\'(-inf-1167.5]\'','\'(0.5-inf)\'',Y,0,3,3
TN,C,R,'\'(-inf-3.5]\'','\'(-inf-22.5]\'',T,S,2,'\'(-inf-375]\'',N,P,E,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,SHEET,'\'(0.6005-0.7995]\'','\'(-inf-1167.5]\'','\'(0.5-inf)\'',Y,0,3,3
TN,C,K,'\'(3.5-inf)\'','\'(-inf-22.5]\'',T,S,2,'\'(-inf-375]\'',N,P,E,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,COIL,'\'(0.7995-0.8005]\'','\'(-inf-1167.5]\'','\'(-inf-0.5]\'',Y,0,3,3
TN,C,W,'\'(-inf-3.5]\'','\'(-inf-22.5]\'',T,S,2,'\'(-inf-375]\'',N,P,G,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,COIL,'\'(1.5995-1.95]\'','\'(-inf-1167.5]\'','\'(-inf-0.5]\'',Y,500,3,3
TN,C,A,'\'(-inf-3.5]\'','\'(-inf-22.5]\'',T,S,3,'\'(-inf-375]\'',N,P,E,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,SHEET,'\'(0.4755-0.6005]\'','\'(-inf-1167.5]\'','\'(0.5-inf)\'',Y,0,3,5
TN,C,A,'\'(-inf-3.5]\'','\'(22.5-75]\'',T,S,2,'\'(-inf-375]\'',N,P,E,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,SHEET,'\'(0.8005-1.5495]\'','\'(1235-1410.05]\'','\'(0.5-inf)\'',Y,0,3,3
TN,C,A,'\'(-inf-3.5]\'','\'(22.5-75]\'',T,S,2,'\'(-inf-375]\'',N,P,D,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,SHEET,'\'(0.6005-0.7995]\'','\'(1235-1410.05]\'','\'(0.5-inf)\'',Y,0,3,3
TN,C,A,'\'(-inf-3.5]\'','\'(75-inf)\'',T,S,2,'\'(-inf-375]\'',N,P,G,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,COIL,'\'(2.1-inf)\'','\'(-inf-1167.5]\'','\'(-inf-0.5]\'',Y,0,3,U
TN,C,A,'\'(-inf-3.5]\'','\'(-inf-22.5]\'',T,S,3,'\'(-inf-375]\'',N,P,F,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,SHEET,'\'(0.6005-0.7995]\'','\'(1235-1410.05]\'','\'(0.5-inf)\'',Y,0,3,3
TN,C,A,'\'(-inf-3.5]\'','\'(-inf-22.5]\'',T,S,3,'\'(-inf-375]\'',N,P,E,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,COIL,'\'(1.5995-1.95]\'','\'(1167.5-1235]\'','\'(-inf-0.5]\'',Y,0,3,5
TN,C,M,'\'(-inf-3.5]\'','\'(-inf-22.5]\'',T,S,2,'\'(-inf-375]\'',N,P,G,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,COIL,'\'(0.8005-1.5495]\'','\'(1235-1410.05]\'','\'(-inf-0.5]\'',Y,0,3,3
TN,C,A,'\'(-inf-3.5]\'','\'(22.5-75]\'',T,S,2,'\'(-inf-375]\'',N,P,G,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,COIL,'\'(0.4755-0.6005]\'','\'(1235-1410.05]\'','\'(-inf-0.5]\'',Y,0,3,3
TN,C,R,'\'(-inf-3.5]\'','\'(-inf-22.5]\'',T,S,2,'\'(-inf-375]\'',N,P,E,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,COIL,'\'(0.6005-0.7995]\'','\'(-inf-1167.5]\'','\'(-inf-0.5]\'',Y,0,3,3
TN,C,R,'\'(-inf-3.5]\'','\'(-inf-22.5]\'',T,S,2,'\'(-inf-375]\'',N,P,E,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,SHEET,'\'(1.5995-1.95]\'','\'(-inf-1167.5]\'','\'(0.5-inf)\'',Y,0,3,3
ZS,C,A,'\'(-inf-3.5]\'','\'(-inf-22.5]\'',T,S,3,'\'(-inf-375]\'',N,P,E,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,COIL,'\'(1.5995-1.95]\'','\'(-inf-1167.5]\'','\'(-inf-0.5]\'',Y,0,3,3
TN,C,R,'\'(-inf-3.5]\'','\'(-inf-22.5]\'',T,S,2,'\'(-inf-375]\'',N,P,E,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,SHEET,'\'(0.6005-0.7995]\'','\'(1235-1410.05]\'','\'(0.5-inf)\'',Y,0,3,3
ZS,C,A,'\'(-inf-3.5]\'','\'(22.5-75]\'',T,S,2,'\'(-inf-375]\'',N,P,E,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,COIL,'\'(0.6005-0.7995]\'','\'(-inf-1167.5]\'','\'(-inf-0.5]\'',Y,0,3,3
TN,C,R,'\'(-inf-3.5]\'','\'(-inf-22.5]\'',T,S,3,'\'(-inf-375]\'',N,P,E,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,SHEET,'\'(0.4755-0.6005]\'','\'(-inf-1167.5]\'','\'(0.5-inf)\'',Y,0,3,3
TN,C,A,'\'(-inf-3.5]\'','\'(-inf-22.5]\'',T,S,3,'\'(-inf-375]\'',N,P,E,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,COIL,'\'(0.6005-0.7995]\'','\'(-inf-1167.5]\'','\'(-inf-0.5]\'',Y,0,3,5
TN,C,A,'\'(-inf-3.5]\'','\'(-inf-22.5]\'',T,S,2,'\'(-inf-375]\'',N,P,F,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,SHEET,'\'(0.4755-0.6005]\'','\'(-inf-1167.5]\'','\'(0.5-inf)\'',Y,0,3,3
TN,C,R,'\'(-inf-3.5]\'','\'(-inf-22.5]\'',T,S,3,'\'(-inf-375]\'',N,P,E,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,SHEET,'\'(0.6005-0.7995]\'','\'(-inf-1167.5]\'','\'(0.5-inf)\'',Y,0,3,3
TN,C,A,'\'(-inf-3.5]\'','\'(22.5-75]\'',T,S,2,'\'(-inf-375]\'',N,P,D,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,SHEET,'\'(0.6005-0.7995]\'','\'(1235-1410.05]\'','\'(0.5-inf)\'',Y,0,3,3
TN,C,W,'\'(-inf-3.5]\'','\'(-inf-22.5]\'',T,S,2,'\'(-inf-375]\'',N,P,G,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,COIL,'\'(2.1-inf)\'','\'(1235-1410.05]\'','\'(-inf-0.5]\'',Y,500,3,3
TN,C,A,'\'(-inf-3.5]\'','\'(-inf-22.5]\'',T,S,2,'\'(-inf-375]\'',N,P,G,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,SHEET,'\'(0.6005-0.7995]\'','\'(1235-1410.05]\'','\'(0.5-inf)\'',N,0,3,3
TN,C,A,'\'(-inf-3.5]\'','\'(-inf-22.5]\'',T,S,2,'\'(-inf-375]\'',N,P,E,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,SHEET,'\'(0.6005-0.7995]\'','\'(-inf-1167.5]\'','\'(0.5-inf)\'',Y,0,3,3
TN,C,A,'\'(-inf-3.5]\'','\'(-inf-22.5]\'',T,S,1,'\'(-inf-375]\'',N,P,G,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,SHEET,'\'(-inf-0.4755]\'','\'(1235-1410.05]\'','\'(0.5-inf)\'',Y,0,3,3
TN,C,R,'\'(-inf-3.5]\'','\'(-inf-22.5]\'',T,S,2,'\'(-inf-375]\'',N,P,E,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,SHEET,'\'(1.5495-1.5995]\'','\'(1235-1410.05]\'','\'(0.5-inf)\'',Y,0,3,3
TN,C,A,'\'(-inf-3.5]\'','\'(22.5-75]\'',T,S,2,'\'(-inf-375]\'',N,P,D,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,SHEET,'\'(0.4755-0.6005]\'','\'(-inf-1167.5]\'','\'(0.5-inf)\'',Y,0,3,3
TN,C,A,'\'(-inf-3.5]\'','\'(-inf-22.5]\'',T,S,2,'\'(-inf-375]\'',N,P,E,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,COIL,'\'(0.6005-0.7995]\'','\'(1235-1410.05]\'','\'(-inf-0.5]\'',Y,0,3,3
TN,C,R,'\'(-inf-3.5]\'','\'(-inf-22.5]\'',T,S,2,'\'(-inf-375]\'',N,P,E,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,SHEET,'\'(0.6005-0.7995]\'','\'(-inf-1167.5]\'','\'(0.5-inf)\'',Y,0,3,3
TN,C,A,'\'(-inf-3.5]\'','\'(-inf-22.5]\'',T,A,2,'\'(-inf-375]\'',N,P,G,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,SHEET,'\'(-inf-0.4755]\'','\'(-inf-1167.5]\'','\'(0.5-inf)\'',Y,0,3,3
TN,C,A,'\'(-inf-3.5]\'','\'(-inf-22.5]\'',T,S,2,'\'(450-550]\'',N,P,G,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,COIL,'\'(1.5995-1.95]\'','\'(1235-1410.05]\'','\'(-inf-0.5]\'',Y,0,3,3
TN,C,A,'\'(-inf-3.5]\'','\'(-inf-22.5]\'',T,S,2,'\'(-inf-375]\'',N,P,G,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,SHEET,'\'(2.1-inf)\'','\'(1235-1410.05]\'','\'(0.5-inf)\'',Y,0,3,3
ZS,C,A,'\'(-inf-3.5]\'','\'(-inf-22.5]\'',T,S,5,'\'(-inf-375]\'',N,P,E,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,SHEET,'\'(0.8005-1.5495]\'','\'(-inf-1167.5]\'','\'(0.5-inf)\'',Y,0,3,3
ZS,C,A,'\'(-inf-3.5]\'','\'(-inf-22.5]\'',T,S,5,'\'(-inf-375]\'',N,P,E,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,SHEET,'\'(0.8005-1.5495]\'','\'(-inf-1167.5]\'','\'(0.5-inf)\'',Y,0,3,3
TN,C,A,'\'(-inf-3.5]\'','\'(-inf-22.5]\'',T,S,3,'\'(-inf-375]\'',N,P,F,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,SHEET,'\'(0.4755-0.6005]\'','\'(1167.5-1235]\'','\'(0.5-inf)\'',Y,0,3,3
TN,C,A,'\'(-inf-3.5]\'','\'(22.5-75]\'',T,S,2,'\'(-inf-375]\'',N,P,D,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,COIL,'\'(-inf-0.4755]\'','\'(-inf-1167.5]\'','\'(-inf-0.5]\'',Y,0,3,3
ZS,C,A,'\'(-inf-3.5]\'','\'(75-inf)\'',T,S,2,'\'(-inf-375]\'',N,P,E,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,SHEET,'\'(0.8005-1.5495]\'','\'(-inf-1167.5]\'','\'(0.5-inf)\'',Y,0,3,U
TN,C,R,'\'(-inf-3.5]\'','\'(-inf-22.5]\'',T,S,2,'\'(-inf-375]\'',N,P,E,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,SHEET,'\'(1.5995-1.95]\'','\'(-inf-1167.5]\'','\'(0.5-inf)\'',Y,0,3,3
TN,C,A,'\'(-inf-3.5]\'','\'(-inf-22.5]\'',T,S,1,'\'(-inf-375]\'',N,P,G,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,SHEET,'\'(-inf-0.4755]\'','\'(-inf-1167.5]\'','\'(0.5-inf)\'',Y,0,3,3
TN,C,A,'\'(-inf-3.5]\'','\'(-inf-22.5]\'',T,S,3,'\'(-inf-375]\'',N,P,E,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,SHEET,'\'(0.8005-1.5495]\'','\'(-inf-1167.5]\'','\'(0.5-inf)\'',Y,0,3,5
TN,C,R,'\'(-inf-3.5]\'','\'(-inf-22.5]\'',T,S,3,'\'(-inf-375]\'',N,P,E,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,SHEET,'\'(0.7995-0.8005]\'','\'(1235-1410.05]\'','\'(0.5-inf)\'',Y,0,3,2
TN,C,A,'\'(-inf-3.5]\'','\'(-inf-22.5]\'',T,S,2,'\'(-inf-375]\'',N,P,E,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,COIL,'\'(-inf-0.4755]\'','\'(-inf-1167.5]\'','\'(-inf-0.5]\'',Y,0,3,3
TN,C,A,'\'(-inf-3.5]\'','\'(-inf-22.5]\'',T,S,3,'\'(-inf-375]\'',N,P,E,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,COIL,'\'(0.4755-0.6005]\'','\'(-inf-1167.5]\'','\'(-inf-0.5]\'',Y,0,3,5
TN,C,A,'\'(-inf-3.5]\'','\'(22.5-75]\'',T,S,2,'\'(-inf-375]\'',N,P,G,2,Y,Y,Y,B,Y,Y,C,P,Y,Y,Y,Y,Y,B,Y,Y,Y,Y,COIL,'\'(0.8005-1.5495]\'','\'(-inf-1167.5]\'','\'(-inf-0.5]\'',Y,600,3,3
