@relation optdigits-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.supervised.attribute.Discretize-Rfirst-last-weka.filters.unsupervised.instance.Resample-S1-Z10.0

@attribute input1 {'\'All\''}
@attribute input2 {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute input3 {'\'(-inf-0.5]\'','\'(0.5-1.5]\'','\'(1.5-4.5]\'','\'(4.5-7.5]\'','\'(7.5-12.5]\'','\'(12.5-inf)\''}
@attribute input4 {'\'(-inf-0.5]\'','\'(0.5-2.5]\'','\'(2.5-7.5]\'','\'(7.5-11.5]\'','\'(11.5-14.5]\'','\'(14.5-15.5]\'','\'(15.5-inf)\''}
@attribute input5 {'\'(-inf-3.5]\'','\'(3.5-7.5]\'','\'(7.5-11.5]\'','\'(11.5-15.5]\'','\'(15.5-inf)\''}
@attribute input6 {'\'(-inf-0.5]\'','\'(0.5-6.5]\'','\'(6.5-11.5]\'','\'(11.5-14.5]\'','\'(14.5-inf)\''}
@attribute input7 {'\'(-inf-0.5]\'','\'(0.5-4.5]\'','\'(4.5-11.5]\'','\'(11.5-inf)\''}
@attribute input8 {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute input9 {'\'All\''}
@attribute input10 {'\'(-inf-0.5]\'','\'(0.5-3.5]\'','\'(3.5-7.5]\'','\'(7.5-inf)\''}
@attribute input11 {'\'(-inf-1.5]\'','\'(1.5-5.5]\'','\'(5.5-9.5]\'','\'(9.5-13.5]\'','\'(13.5-15.5]\'','\'(15.5-inf)\''}
@attribute input12 {'\'(-inf-1.5]\'','\'(1.5-7.5]\'','\'(7.5-12.5]\'','\'(12.5-14.5]\'','\'(14.5-15.5]\'','\'(15.5-inf)\''}
@attribute input13 {'\'(-inf-3.5]\'','\'(3.5-8.5]\'','\'(8.5-14.5]\'','\'(14.5-15.5]\'','\'(15.5-inf)\''}
@attribute input14 {'\'(-inf-1.5]\'','\'(1.5-4.5]\'','\'(4.5-8.5]\'','\'(8.5-12.5]\'','\'(12.5-15.5]\'','\'(15.5-inf)\''}
@attribute input15 {'\'(-inf-0.5]\'','\'(0.5-8.5]\'','\'(8.5-12.5]\'','\'(12.5-inf)\''}
@attribute input16 {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute input17 {'\'All\''}
@attribute input18 {'\'(-inf-1.5]\'','\'(1.5-3.5]\'','\'(3.5-8.5]\'','\'(8.5-inf)\''}
@attribute input19 {'\'(-inf-0.5]\'','\'(0.5-2.5]\'','\'(2.5-9.5]\'','\'(9.5-13.5]\'','\'(13.5-inf)\''}
@attribute input20 {'\'(-inf-0.5]\'','\'(0.5-5.5]\'','\'(5.5-8.5]\'','\'(8.5-12.5]\'','\'(12.5-15.5]\'','\'(15.5-inf)\''}
@attribute input21 {'\'(-inf-0.5]\'','\'(0.5-3.5]\'','\'(3.5-5.5]\'','\'(5.5-9.5]\'','\'(9.5-15.5]\'','\'(15.5-inf)\''}
@attribute input22 {'\'(-inf-0.5]\'','\'(0.5-3.5]\'','\'(3.5-8.5]\'','\'(8.5-15.5]\'','\'(15.5-inf)\''}
@attribute input23 {'\'(-inf-0.5]\'','\'(0.5-8.5]\'','\'(8.5-12.5]\'','\'(12.5-inf)\''}
@attribute input24 {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute input25 {'\'All\''}
@attribute input26 {'\'(-inf-0.5]\'','\'(0.5-3.5]\'','\'(3.5-8.5]\'','\'(8.5-inf)\''}
@attribute input27 {'\'(-inf-0.5]\'','\'(0.5-2.5]\'','\'(2.5-6.5]\'','\'(6.5-10.5]\'','\'(10.5-13.5]\'','\'(13.5-15.5]\'','\'(15.5-inf)\''}
@attribute input28 {'\'(-inf-0.5]\'','\'(0.5-4.5]\'','\'(4.5-8.5]\'','\'(8.5-13.5]\'','\'(13.5-15.5]\'','\'(15.5-inf)\''}
@attribute input29 {'\'(-inf-0.5]\'','\'(0.5-4.5]\'','\'(4.5-12.5]\'','\'(12.5-15.5]\'','\'(15.5-inf)\''}
@attribute input30 {'\'(-inf-0.5]\'','\'(0.5-3.5]\'','\'(3.5-8.5]\'','\'(8.5-13.5]\'','\'(13.5-15.5]\'','\'(15.5-inf)\''}
@attribute input31 {'\'(-inf-0.5]\'','\'(0.5-1.5]\'','\'(1.5-3.5]\'','\'(3.5-4.5]\'','\'(4.5-8.5]\'','\'(8.5-12.5]\'','\'(12.5-inf)\''}
@attribute input32 {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute input33 {'\'All\''}
@attribute input34 {'\'(-inf-0.5]\'','\'(0.5-1.5]\'','\'(1.5-3.5]\'','\'(3.5-8.5]\'','\'(8.5-10.5]\'','\'(10.5-inf)\''}
@attribute input35 {'\'(-inf-0.5]\'','\'(0.5-3.5]\'','\'(3.5-7.5]\'','\'(7.5-12.5]\'','\'(12.5-15.5]\'','\'(15.5-inf)\''}
@attribute input36 {'\'(-inf-0.5]\'','\'(0.5-9.5]\'','\'(9.5-12.5]\'','\'(12.5-15.5]\'','\'(15.5-inf)\''}
@attribute input37 {'\'(-inf-0.5]\'','\'(0.5-1.5]\'','\'(1.5-10.5]\'','\'(10.5-15.5]\'','\'(15.5-inf)\''}
@attribute input38 {'\'(-inf-0.5]\'','\'(0.5-3.5]\'','\'(3.5-8.5]\'','\'(8.5-12.5]\'','\'(12.5-15.5]\'','\'(15.5-inf)\''}
@attribute input39 {'\'(-inf-0.5]\'','\'(0.5-3.5]\'','\'(3.5-5.5]\'','\'(5.5-7.5]\'','\'(7.5-8.5]\'','\'(8.5-inf)\''}
@attribute input40 {'\'All\''}
@attribute input41 {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute input42 {'\'(-inf-0.5]\'','\'(0.5-2.5]\'','\'(2.5-8.5]\'','\'(8.5-inf)\''}
@attribute input43 {'\'(-inf-0.5]\'','\'(0.5-3.5]\'','\'(3.5-7.5]\'','\'(7.5-10.5]\'','\'(10.5-13.5]\'','\'(13.5-15.5]\'','\'(15.5-inf)\''}
@attribute input44 {'\'(-inf-0.5]\'','\'(0.5-3.5]\'','\'(3.5-9.5]\'','\'(9.5-15.5]\'','\'(15.5-inf)\''}
@attribute input45 {'\'(-inf-0.5]\'','\'(0.5-2.5]\'','\'(2.5-7.5]\'','\'(7.5-12.5]\'','\'(12.5-15.5]\'','\'(15.5-inf)\''}
@attribute input46 {'\'(-inf-0.5]\'','\'(0.5-4.5]\'','\'(4.5-12.5]\'','\'(12.5-inf)\''}
@attribute input47 {'\'(-inf-0.5]\'','\'(0.5-3.5]\'','\'(3.5-6.5]\'','\'(6.5-9.5]\'','\'(9.5-inf)\''}
@attribute input48 {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute input49 {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute input50 {'\'(-inf-0.5]\'','\'(0.5-3.5]\'','\'(3.5-8.5]\'','\'(8.5-inf)\''}
@attribute input51 {'\'(-inf-0.5]\'','\'(0.5-6.5]\'','\'(6.5-8.5]\'','\'(8.5-11.5]\'','\'(11.5-inf)\''}
@attribute input52 {'\'(-inf-0.5]\'','\'(0.5-8.5]\'','\'(8.5-12.5]\'','\'(12.5-15.5]\'','\'(15.5-inf)\''}
@attribute input53 {'\'(-inf-3.5]\'','\'(3.5-9.5]\'','\'(9.5-15.5]\'','\'(15.5-inf)\''}
@attribute input54 {'\'(-inf-0.5]\'','\'(0.5-1.5]\'','\'(1.5-3.5]\'','\'(3.5-9.5]\'','\'(9.5-12.5]\'','\'(12.5-15.5]\'','\'(15.5-inf)\''}
@attribute input55 {'\'(-inf-0.5]\'','\'(0.5-3.5]\'','\'(3.5-8.5]\'','\'(8.5-12.5]\'','\'(12.5-inf)\''}
@attribute input56 {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute input57 {'\'All\''}
@attribute input58 {'\'(-inf-0.5]\'','\'(0.5-1.5]\'','\'(1.5-inf)\''}
@attribute input59 {'\'(-inf-0.5]\'','\'(0.5-1.5]\'','\'(1.5-4.5]\'','\'(4.5-8.5]\'','\'(8.5-10.5]\'','\'(10.5-14.5]\'','\'(14.5-inf)\''}
@attribute input60 {'\'(-inf-0.5]\'','\'(0.5-4.5]\'','\'(4.5-8.5]\'','\'(8.5-11.5]\'','\'(11.5-15.5]\'','\'(15.5-inf)\''}
@attribute input61 {'\'(-inf-0.5]\'','\'(0.5-2.5]\'','\'(2.5-7.5]\'','\'(7.5-12.5]\'','\'(12.5-15.5]\'','\'(15.5-inf)\''}
@attribute input62 {'\'(-inf-0.5]\'','\'(0.5-6.5]\'','\'(6.5-10.5]\'','\'(10.5-15.5]\'','\'(15.5-inf)\''}
@attribute input63 {'\'(-inf-0.5]\'','\'(0.5-2.5]\'','\'(2.5-6.5]\'','\'(6.5-14.5]\'','\'(14.5-inf)\''}
@attribute input64 {'\'(-inf-0.5]\'','\'(0.5-8.5]\'','\'(8.5-inf)\''}
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
'\'All\'','\'(-inf-0.5]\'','\'(12.5-inf)\'','\'(14.5-15.5]\'','\'(3.5-7.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'All\'','\'(-inf-0.5]\'','\'(15.5-inf)\'','\'(12.5-14.5]\'','\'(14.5-15.5]\'','\'(1.5-4.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'All\'','\'(-inf-1.5]\'','\'(2.5-9.5]\'','\'(12.5-15.5]\'','\'(9.5-15.5]\'','\'(3.5-8.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'All\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.5-4.5]\'','\'(4.5-12.5]\'','\'(8.5-13.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'All\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(10.5-15.5]\'','\'(3.5-8.5]\'','\'(-inf-0.5]\'','\'All\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.5-3.5]\'','\'(12.5-15.5]\'','\'(4.5-12.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(11.5-inf)\'','\'(15.5-inf)\'','\'(15.5-inf)\'','\'(3.5-9.5]\'','\'(0.5-3.5]\'','\'(-inf-0.5]\'','\'All\'','\'(0.5-1.5]\'','\'(10.5-14.5]\'','\'(11.5-15.5]\'','\'(7.5-12.5]\'','\'(10.5-15.5]\'','\'(14.5-inf)\'','\'(0.5-8.5]\'',2
'\'All\'','\'(-inf-0.5]\'','\'(1.5-4.5]\'','\'(11.5-14.5]\'','\'(7.5-11.5]\'','\'(0.5-6.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'All\'','\'(-inf-0.5]\'','\'(15.5-inf)\'','\'(14.5-15.5]\'','\'(8.5-14.5]\'','\'(12.5-15.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'All\'','\'(-inf-1.5]\'','\'(13.5-inf)\'','\'(8.5-12.5]\'','\'(5.5-9.5]\'','\'(8.5-15.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'All\'','\'(0.5-3.5]\'','\'(15.5-inf)\'','\'(13.5-15.5]\'','\'(12.5-15.5]\'','\'(15.5-inf)\'','\'(0.5-1.5]\'','\'(-inf-0.5]\'','\'All\'','\'(-inf-0.5]\'','\'(3.5-7.5]\'','\'(9.5-12.5]\'','\'(10.5-15.5]\'','\'(15.5-inf)\'','\'(5.5-7.5]\'','\'All\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(12.5-inf)\'','\'(9.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.5-6.5]\'','\'(0.5-8.5]\'','\'(-inf-3.5]\'','\'(12.5-15.5]\'','\'(8.5-12.5]\'','\'(-inf-0.5]\'','\'All\'','\'(-inf-0.5]\'','\'(4.5-8.5]\'','\'(11.5-15.5]\'','\'(12.5-15.5]\'','\'(10.5-15.5]\'','\'(0.5-2.5]\'','\'(-inf-0.5]\'',9
'\'All\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(2.5-7.5]\'','\'(7.5-11.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'All\'','\'(-inf-0.5]\'','\'(-inf-1.5]\'','\'(7.5-12.5]\'','\'(3.5-8.5]\'','\'(-inf-1.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'All\'','\'(-inf-1.5]\'','\'(2.5-9.5]\'','\'(12.5-15.5]\'','\'(0.5-3.5]\'','\'(3.5-8.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'All\'','\'(-inf-0.5]\'','\'(10.5-13.5]\'','\'(8.5-13.5]\'','\'(4.5-12.5]\'','\'(8.5-13.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'All\'','\'(3.5-8.5]\'','\'(15.5-inf)\'','\'(9.5-12.5]\'','\'(10.5-15.5]\'','\'(8.5-12.5]\'','\'(0.5-3.5]\'','\'All\'','\'(-inf-0.5]\'','\'(2.5-8.5]\'','\'(7.5-10.5]\'','\'(9.5-15.5]\'','\'(15.5-inf)\'','\'(12.5-inf)\'','\'(6.5-9.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.5-8.5]\'','\'(9.5-15.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'All\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(4.5-8.5]\'','\'(7.5-12.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'',4
'\'All\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(7.5-11.5]\'','\'(3.5-7.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'All\'','\'(-inf-0.5]\'','\'(1.5-5.5]\'','\'(15.5-inf)\'','\'(-inf-3.5]\'','\'(-inf-1.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'All\'','\'(-inf-1.5]\'','\'(9.5-13.5]\'','\'(12.5-15.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'All\'','\'(-inf-0.5]\'','\'(13.5-15.5]\'','\'(4.5-8.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'All\'','\'(-inf-0.5]\'','\'(15.5-inf)\'','\'(12.5-15.5]\'','\'(15.5-inf)\'','\'(12.5-15.5]\'','\'(3.5-5.5]\'','\'All\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(13.5-15.5]\'','\'(3.5-9.5]\'','\'(-inf-0.5]\'','\'(0.5-4.5]\'','\'(9.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(8.5-11.5]\'','\'(12.5-15.5]\'','\'(-inf-3.5]\'','\'(1.5-3.5]\'','\'(12.5-inf)\'','\'(0.5-inf)\'','\'All\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(8.5-11.5]\'','\'(12.5-15.5]\'','\'(10.5-15.5]\'','\'(6.5-14.5]\'','\'(-inf-0.5]\'',6
'\'All\'','\'(-inf-0.5]\'','\'(4.5-7.5]\'','\'(14.5-15.5]\'','\'(7.5-11.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'All\'','\'(3.5-7.5]\'','\'(15.5-inf)\'','\'(14.5-15.5]\'','\'(14.5-15.5]\'','\'(4.5-8.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'All\'','\'(8.5-inf)\'','\'(9.5-13.5]\'','\'(0.5-5.5]\'','\'(9.5-15.5]\'','\'(3.5-8.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'All\'','\'(8.5-inf)\'','\'(6.5-10.5]\'','\'(-inf-0.5]\'','\'(12.5-15.5]\'','\'(0.5-3.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'All\'','\'(3.5-8.5]\'','\'(7.5-12.5]\'','\'(0.5-9.5]\'','\'(10.5-15.5]\'','\'(3.5-8.5]\'','\'(-inf-0.5]\'','\'All\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(3.5-9.5]\'','\'(15.5-inf)\'','\'(0.5-4.5]\'','\'(0.5-3.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.5-6.5]\'','\'(15.5-inf)\'','\'(15.5-inf)\'','\'(12.5-15.5]\'','\'(12.5-inf)\'','\'(0.5-inf)\'','\'All\'','\'(-inf-0.5]\'','\'(4.5-8.5]\'','\'(15.5-inf)\'','\'(12.5-15.5]\'','\'(10.5-15.5]\'','\'(6.5-14.5]\'','\'(0.5-8.5]\'',2
'\'All\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(15.5-inf)\'','\'(3.5-7.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'All\'','\'(-inf-0.5]\'','\'(-inf-1.5]\'','\'(15.5-inf)\'','\'(8.5-14.5]\'','\'(-inf-1.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'All\'','\'(-inf-1.5]\'','\'(-inf-0.5]\'','\'(12.5-15.5]\'','\'(15.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'All\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(13.5-15.5]\'','\'(12.5-15.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'All\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(12.5-15.5]\'','\'(10.5-15.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'All\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(9.5-15.5]\'','\'(12.5-15.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(12.5-15.5]\'','\'(9.5-15.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'All\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(8.5-11.5]\'','\'(12.5-15.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'',1
'\'All\'','\'(0.5-inf)\'','\'(12.5-inf)\'','\'(15.5-inf)\'','\'(7.5-11.5]\'','\'(0.5-6.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'All\'','\'(-inf-0.5]\'','\'(5.5-9.5]\'','\'(7.5-12.5]\'','\'(15.5-inf)\'','\'(4.5-8.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'All\'','\'(-inf-1.5]\'','\'(2.5-9.5]\'','\'(12.5-15.5]\'','\'(9.5-15.5]\'','\'(0.5-3.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'All\'','\'(-inf-0.5]\'','\'(10.5-13.5]\'','\'(15.5-inf)\'','\'(4.5-12.5]\'','\'(0.5-3.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'All\'','\'(-inf-0.5]\'','\'(0.5-3.5]\'','\'(0.5-9.5]\'','\'(10.5-15.5]\'','\'(12.5-15.5]\'','\'(0.5-3.5]\'','\'All\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(3.5-7.5]\'','\'(-inf-0.5]\'','\'(2.5-7.5]\'','\'(12.5-inf)\'','\'(3.5-6.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(3.5-8.5]\'','\'(11.5-inf)\'','\'(0.5-8.5]\'','\'(9.5-15.5]\'','\'(12.5-15.5]\'','\'(0.5-3.5]\'','\'(-inf-0.5]\'','\'All\'','\'(1.5-inf)\'','\'(10.5-14.5]\'','\'(11.5-15.5]\'','\'(7.5-12.5]\'','\'(0.5-6.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'',3
'\'All\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(7.5-11.5]\'','\'(0.5-6.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'All\'','\'(-inf-0.5]\'','\'(-inf-1.5]\'','\'(7.5-12.5]\'','\'(8.5-14.5]\'','\'(-inf-1.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'All\'','\'(-inf-1.5]\'','\'(0.5-2.5]\'','\'(12.5-15.5]\'','\'(3.5-5.5]\'','\'(3.5-8.5]\'','\'(0.5-8.5]\'','\'(-inf-0.5]\'','\'All\'','\'(0.5-3.5]\'','\'(10.5-13.5]\'','\'(4.5-8.5]\'','\'(-inf-0.5]\'','\'(8.5-13.5]\'','\'(8.5-12.5]\'','\'(-inf-0.5]\'','\'All\'','\'(8.5-10.5]\'','\'(15.5-inf)\'','\'(0.5-9.5]\'','\'(1.5-10.5]\'','\'(15.5-inf)\'','\'(5.5-7.5]\'','\'All\'','\'(-inf-0.5]\'','\'(2.5-8.5]\'','\'(10.5-13.5]\'','\'(9.5-15.5]\'','\'(12.5-15.5]\'','\'(12.5-inf)\'','\'(0.5-3.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(9.5-15.5]\'','\'(3.5-9.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'All\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.5-4.5]\'','\'(15.5-inf)\'','\'(0.5-6.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'',4
'\'All\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(7.5-11.5]\'','\'(7.5-11.5]\'','\'(0.5-6.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'All\'','\'(-inf-0.5]\'','\'(1.5-5.5]\'','\'(15.5-inf)\'','\'(3.5-8.5]\'','\'(8.5-12.5]\'','\'(0.5-8.5]\'','\'(-inf-0.5]\'','\'All\'','\'(1.5-3.5]\'','\'(13.5-inf)\'','\'(5.5-8.5]\'','\'(0.5-3.5]\'','\'(15.5-inf)\'','\'(0.5-8.5]\'','\'(-inf-0.5]\'','\'All\'','\'(3.5-8.5]\'','\'(15.5-inf)\'','\'(0.5-4.5]\'','\'(4.5-12.5]\'','\'(13.5-15.5]\'','\'(1.5-3.5]\'','\'(-inf-0.5]\'','\'All\'','\'(3.5-8.5]\'','\'(15.5-inf)\'','\'(9.5-12.5]\'','\'(15.5-inf)\'','\'(12.5-15.5]\'','\'(5.5-7.5]\'','\'All\'','\'(-inf-0.5]\'','\'(0.5-2.5]\'','\'(7.5-10.5]\'','\'(9.5-15.5]\'','\'(15.5-inf)\'','\'(4.5-12.5]\'','\'(0.5-3.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(8.5-12.5]\'','\'(9.5-15.5]\'','\'(0.5-1.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'All\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(11.5-15.5]\'','\'(12.5-15.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'',4
'\'All\'','\'(-inf-0.5]\'','\'(1.5-4.5]\'','\'(14.5-15.5]\'','\'(-inf-3.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'All\'','\'(-inf-0.5]\'','\'(5.5-9.5]\'','\'(15.5-inf)\'','\'(-inf-3.5]\'','\'(-inf-1.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'All\'','\'(-inf-1.5]\'','\'(13.5-inf)\'','\'(12.5-15.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'All\'','\'(0.5-3.5]\'','\'(15.5-inf)\'','\'(8.5-13.5]\'','\'(0.5-4.5]\'','\'(0.5-3.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'All\'','\'(3.5-8.5]\'','\'(15.5-inf)\'','\'(15.5-inf)\'','\'(15.5-inf)\'','\'(15.5-inf)\'','\'(3.5-5.5]\'','\'All\'','\'(-inf-0.5]\'','\'(2.5-8.5]\'','\'(15.5-inf)\'','\'(3.5-9.5]\'','\'(2.5-7.5]\'','\'(12.5-inf)\'','\'(6.5-9.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(3.5-8.5]\'','\'(11.5-inf)\'','\'(8.5-12.5]\'','\'(3.5-9.5]\'','\'(15.5-inf)\'','\'(3.5-8.5]\'','\'(-inf-0.5]\'','\'All\'','\'(-inf-0.5]\'','\'(4.5-8.5]\'','\'(11.5-15.5]\'','\'(15.5-inf)\'','\'(10.5-15.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'',6
'\'All\'','\'(-inf-0.5]\'','\'(7.5-12.5]\'','\'(15.5-inf)\'','\'(7.5-11.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'All\'','\'(-inf-0.5]\'','\'(15.5-inf)\'','\'(1.5-7.5]\'','\'(14.5-15.5]\'','\'(-inf-1.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'All\'','\'(3.5-8.5]\'','\'(9.5-13.5]\'','\'(-inf-0.5]\'','\'(9.5-15.5]\'','\'(0.5-3.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'All\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(4.5-8.5]\'','\'(15.5-inf)\'','\'(0.5-3.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'All\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.5-9.5]\'','\'(10.5-15.5]\'','\'(15.5-inf)\'','\'(0.5-3.5]\'','\'All\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(4.5-12.5]\'','\'(3.5-6.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(11.5-inf)\'','\'(8.5-12.5]\'','\'(3.5-9.5]\'','\'(15.5-inf)\'','\'(0.5-3.5]\'','\'(-inf-0.5]\'','\'All\'','\'(-inf-0.5]\'','\'(4.5-8.5]\'','\'(15.5-inf)\'','\'(12.5-15.5]\'','\'(6.5-10.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'',3
